2.82277859597447e+000	2.47129510705113e-003
7.31467844869907e+000	2.36891349199587e-002
1.29847815414826e+001	5.95703364856530e-002
1.76485027000491e+001	8.18659321893126e-002
2.29995090819833e+001	6.42691783531243e-002
2.71723122238586e+001	7.05556317243910e-002
3.26215022091311e+001	7.49264347373338e-002
3.78988708885616e+001	7.64830454444203e-002
4.28816887579774e+001	7.80719950303273e-002
4.73735886107020e+001	7.41014233231658e-002
5.26264113892980e+001	7.30540284924281e-002
5.73392243495336e+001	6.94484205858269e-002
6.26656848306333e+001	6.58122463580860e-002
6.73048600883652e+001	6.19731158071813e-002
7.23122238586156e+001	5.67198649403786e-002
7.75405007363770e+001	5.36651809808712e-002
8.26215022091311e+001	4.85753498095144e-002
8.76043200785469e+001	4.48107743635042e-002
9.26362297496318e+001	4.10123169807966e-002
9.71526755031910e+001	3.74765177846557e-002
1.02503681885125e+002	3.43540559169343e-002
1.07412862052037e+002	3.12436777707658e-002
1.12395679921453e+002	2.83700009834073e-002
1.17280314187531e+002	2.63791330665731e-002
1.22312223858616e+002	2.25199491278733e-002
1.27614138438881e+002	2.10392069874705e-002
1.32081492390771e+002	1.91949665868548e-002
1.37677957781051e+002	1.70477679536607e-002
1.42096219931271e+002	1.51168310414688e-002
1.47128129602356e+002	1.37264413830869e-002
