2.65095729013255e+000	9.44649021684076e+000
9.49926362297496e+000	1.00000000000000e+001
1.78939617083947e+001	8.19307021822594e+000
2.31958762886598e+001	6.80888084562374e+000
2.76141384388807e+001	6.43200262958191e+000
3.26951399116348e+001	5.73967327799134e+000
3.71134020618557e+001	5.04946945711723e+000
4.24889543446244e+001	4.15017384280848e+000
4.74717722140403e+001	3.89573173749258e+000
5.26755031909671e+001	3.37348132367482e+000
5.75355915562101e+001	3.02468436791858e+000
6.27393225331370e+001	2.61506445348371e+000
6.77466863033873e+001	2.31886588398661e+000
7.23122238586156e+001	2.03357571505766e+000
7.74668630338734e+001	1.75539861486345e+000
8.26215022091311e+001	1.42237434472655e+000
8.72115856651939e+001	1.32465263973490e+000
9.29798723613157e+001	1.13086013796011e+000
9.72017673048601e+001	9.70010813323577e-001
1.02577319587629e+002	8.38646446658130e-001
1.07167403043692e+002	7.14823573995678e-001
1.12322042218949e+002	6.14120334200661e-001
1.17304860088365e+002	5.17684205613345e-001
1.22164948453608e+002	4.16826526652459e-001
1.27565046637212e+002	3.82702296371255e-001
1.32326951399116e+002	3.28268150324506e-001
1.37309769268532e+002	2.76282421866282e-001
1.42047128129602e+002	2.33266097027319e-001
1.47692685321551e+002	2.05540369092392e-001
